ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25850,24,1,profitable
B-25850,513,215,profitable
B-25850,117,36,profitable
B-25850,916,192,profitable
B-25850,485,199,profitable
B-25851,10,2,profitable
B-25851,300,42,profitable
B-25851,57,27,profitable
B-25851,103,46,profitable
B-25851,336,71,profitable
B-25851,53,24,profitable
B-25851,90,29,profitable
B-25851,62,1,profitable
B-25851,135,54,profitable
B-25851,237,47,profitable
B-25852,320,144,profitable
B-25852,24,1,profitable
B-25852,45,12,profitable
B-25852,97,17,profitable
B-25852,50,16,profitable
B-25852,869,67,profitable
B-25852,105,33,profitable
B-25853,39,16,profitable
B-25853,30,14,profitable
B-25853,26,11,profitable
B-25853,19,6,profitable
B-25853,579,139,profitable
B-25853,2093,721,profitable
B-25853,95,11,profitable
B-25853,128,4,profitable
B-25853,199,48,profitable
B-25854,149,48,profitable
B-25854,436,131,profitable
B-25854,76,19,profitable
B-25854,88,16,profitable
B-25854,342,154,profitable
B-25854,40,16,profitable
B-25854,53,-2,not profitable
B-25854,381,144,profitable
B-25855,829,19,profitable
B-25855,442,31,profitable
B-25855,90,17,profitable
B-25855,98,12,profitable
B-25855,61,30,profitable
B-25855,1027,441,profitable
B-25855,1319,567,profitable
B-25855,197,73,profitable
B-25855,550,242,profitable
B-25856,74,29,profitable
B-25856,10,2,profitable
B-25856,689,90,profitable
B-25856,257,3,profitable
B-25856,48,6,profitable
B-25857,324,39,profitable
B-25857,598,166,profitable
B-25857,227,59,profitable
B-25858,22,8,profitable
B-25858,29,11,profitable
B-25858,27,5,profitable
B-25858,82,13,profitable
B-25858,294,109,profitable
B-25858,16,0,profitable
B-25858,245,30,profitable
B-25858,223,27,profitable
B-25858,2457,665,profitable
B-25859,724,253,profitable
B-25860,112,24,profitable
B-25861,128,4,profitable
B-25861,50,3,profitable
B-25861,62,6,profitable
B-25861,44,14,profitable
B-25861,56,18,profitable
B-25861,216,-83,not profitable
B-25862,2061,701,profitable
B-25862,121,41,profitable
B-25862,80,3,profitable
B-25863,189,87,profitable
B-25864,100,6,profitable
B-25864,17,5,profitable
B-25864,22,8,profitable
B-25864,27,9,profitable
B-25865,85,-1,not profitable
B-25866,51,14,profitable
B-25867,31,14,profitable
B-25867,240,12,profitable
B-25867,163,26,profitable
B-25868,170,73,profitable
B-25868,62,-1,not profitable
B-25868,1118,206,profitable
B-25869,86,9,profitable
B-25870,10,4,profitable
B-25870,845,84,profitable
B-25870,57,7,profitable
B-25870,473,113,profitable
B-25871,118,25,profitable
B-25872,57,27,profitable
B-25873,66,12,profitable
B-25873,367,73,profitable
B-25873,7,1,profitable
B-25873,1275,357,profitable
B-25873,42,12,profitable
B-25874,124,54,profitable
B-25875,248,8,profitable
B-25876,282,14,profitable
B-25877,1137,568,profitable
B-25877,269,33,profitable
B-25877,24,8,profitable
B-25878,165,46,profitable
B-25878,46,0,profitable
B-25878,84,41,profitable
B-25878,140,15,profitable
B-25878,741,267,profitable
B-25878,719,303,profitable
B-25879,57,28,profitable
B-25880,108,37,profitable
B-25881,37,3,profitable
B-25881,26,9,profitable
B-25881,1351,111,profitable
B-25881,2244,247,profitable
B-25881,36,7,profitable
B-25881,2115,23,profitable
B-25882,121,19,profitable
B-25883,146,42,profitable
B-25883,105,26,profitable
B-25883,127,29,profitable
B-25883,16,-15,not profitable
B-25883,10,-2,not profitable
B-25884,24,2,profitable
B-25885,94,27,profitable
B-25885,394,146,profitable
B-25885,734,248,profitable
B-25885,349,0,profitable
B-25886,89,17,profitable
B-25886,502,84,profitable
B-25886,63,1,profitable
B-25886,107,37,profitable
B-25887,83,6,profitable
B-25887,2125,234,profitable
B-25888,18,2,profitable
B-25888,223,4,profitable
B-25888,646,213,profitable
B-25889,31,10,profitable
B-25889,119,43,profitable
B-25889,114,11,profitable
B-25890,465,207,profitable
B-25891,25,2,profitable
B-25891,97,36,profitable
B-25891,121,41,profitable
B-25892,139,30,profitable
B-25893,355,114,profitable
B-25893,61,11,profitable
B-25893,149,15,profitable
B-25893,688,103,profitable
B-25893,372,59,profitable
B-25893,223,62,profitable
B-25893,83,12,profitable
B-25894,1246,62,profitable
B-25895,388,93,profitable
B-25896,31,11,profitable
B-25896,42,7,profitable
B-25896,190,68,profitable
B-25896,103,36,profitable
B-25896,287,66,profitable
B-25896,23,4,profitable
B-25896,79,-2,not profitable
B-25897,43,5,profitable
B-25897,33,10,profitable
B-25897,24,11,profitable
B-25897,734,213,profitable
B-25898,33,13,profitable
B-25898,499,33,profitable
B-25898,147,73,profitable
B-25898,53,5,profitable
B-25898,171,2,profitable
B-25898,915,-99,not profitable
B-25898,191,93,profitable
B-25898,857,274,profitable
B-25899,22,9,profitable
B-25899,28,6,profitable
B-25899,43,17,profitable
B-25899,846,9,profitable
B-25900,15,2,profitable
B-25900,140,68,profitable
B-25900,210,62,profitable
B-25901,158,38,profitable
B-25901,90,27,profitable
B-25901,159,2,profitable
B-25901,61,28,profitable
B-25902,79,6,profitable
B-25902,268,6,profitable
B-25902,802,120,profitable
B-25902,1700,85,profitable
B-25902,154,26,profitable
B-25903,455,77,profitable
B-25903,19,8,profitable
B-25903,25,11,profitable
B-25903,37,17,profitable
B-25903,60,-10,not profitable
B-25903,204,94,profitable
B-25903,74,33,profitable
B-25903,336,57,profitable
B-25904,871,131,profitable
B-25904,83,12,profitable
B-25905,152,50,profitable
B-25906,78,27,profitable
B-25907,30,11,profitable
B-25908,179,25,profitable
B-25909,168,56,profitable
B-25909,108,22,profitable
B-25909,1622,248,profitable
B-25909,323,122,profitable
B-25909,12,2,profitable
B-25910,125,15,profitable
B-25910,685,7,profitable
B-25910,850,289,profitable
B-25910,1622,624,profitable
B-25910,259,47,profitable
B-25910,33,1,profitable
B-25911,40,15,profitable
B-25912,102,11,profitable
B-25913,103,21,profitable
B-25914,460,143,profitable
B-25914,125,22,profitable
B-25915,277,3,profitable
B-25916,80,26,profitable
B-25917,100,12,profitable
B-25918,244,122,profitable
B-25919,28,4,profitable
B-25919,110,12,profitable
B-25919,636,204,profitable
B-25919,1599,37,profitable
B-25919,977,244,profitable
B-25920,100,7,profitable
B-25921,170,19,profitable
B-25921,84,-42,not profitable
B-25921,71,-44,not profitable
B-25922,52,18,profitable
B-25923,226,58,profitable
B-25923,484,28,profitable
B-25923,253,-11,not profitable
B-25923,3873,891,profitable
B-25924,148,54,profitable
B-25925,27,12,profitable
B-25925,314,-41,not profitable
B-25925,1228,14,profitable
B-25926,57,6,profitable
B-25927,200,7,profitable
B-25928,25,10,profitable
B-25928,122,15,profitable
B-25929,1308,536,profitable
B-25929,216,-135,not profitable
B-25929,154,-85,not profitable
B-25930,40,13,profitable
B-25930,351,-94,not profitable
B-25930,595,119,profitable
B-25930,151,29,profitable
B-25930,58,17,profitable
B-25930,202,89,profitable
B-25931,73,-36,not profitable
B-25932,71,-14,not profitable
B-25933,81,-44,not profitable
B-25933,412,-412,not profitable
B-25933,207,-100,not profitable
B-25934,105,33,profitable
B-25935,162,20,profitable
B-25935,150,32,profitable
B-25935,1657,460,profitable
B-25936,61,25,profitable
B-25937,1101,352,profitable
B-25938,61,1,profitable
B-25938,59,25,profitable
B-25939,61,18,profitable
B-25939,136,41,profitable
B-25939,469,33,profitable
B-25940,55,4,profitable
B-25940,13,3,profitable
B-25940,46,0,profitable
B-25941,177,41,profitable
B-25942,646,-23,not profitable
B-25943,48,20,profitable
B-25943,26,7,profitable
B-25943,149,15,profitable
B-25943,1547,340,profitable
B-25943,137,38,profitable
B-25944,169,38,profitable
B-25945,245,10,profitable
B-25945,60,3,profitable
B-25945,63,14,profitable
B-25945,765,-36,not profitable
B-25946,146,7,profitable
B-25947,290,35,profitable
B-25947,207,33,profitable
B-25948,152,23,profitable
B-25949,24,11,profitable
B-25949,140,57,profitable
B-25949,151,9,profitable
B-25950,13,4,profitable
B-25950,54,27,profitable
B-25950,644,167,profitable
B-25950,261,13,profitable
B-25950,1622,95,profitable
B-25950,190,19,profitable
B-25950,158,-29,not profitable
B-25950,136,-33,not profitable
B-25950,133,5,profitable
B-25951,102,13,profitable
B-25951,50,14,profitable
B-25951,111,11,profitable
B-25951,120,23,profitable
B-25951,40,18,profitable
B-25951,250,100,profitable
B-25951,89,29,profitable
B-25951,30,5,profitable
B-25951,248,105,profitable
B-25951,742,198,profitable
B-25952,14,0,profitable
B-25952,87,32,profitable
B-25952,935,114,profitable
B-25952,173,69,profitable
B-25952,352,18,profitable
B-25952,147,48,profitable
B-25952,44,14,profitable
B-25953,22,-8,not profitable
B-25953,188,-193,not profitable
B-25953,81,41,profitable
B-25953,44,2,profitable
B-25953,116,22,profitable
B-25953,67,20,profitable
B-25953,744,119,profitable
B-25953,1218,352,profitable
B-25953,87,36,profitable
B-25954,891,0,profitable
B-25954,146,66,profitable
B-25954,44,10,profitable
B-25954,27,0,profitable
B-25954,48,11,profitable
B-25954,189,60,profitable
B-25954,524,-25,not profitable
B-25954,148,9,profitable
B-25955,1716,309,profitable
B-25955,45,8,profitable
B-25955,39,2,profitable
B-25955,110,20,profitable
B-25955,54,14,profitable
B-25955,954,95,profitable
B-25955,2927,146,profitable
B-25955,294,62,profitable
B-25955,200,13,profitable
B-25956,89,-37,not profitable
B-25956,59,10,profitable
B-25956,33,10,profitable
B-25956,474,56,profitable
B-25956,140,28,profitable
B-25957,147,73,profitable
B-25957,16,2,profitable
B-25957,1157,-13,not profitable
B-25958,105,25,profitable
B-25958,360,32,profitable
B-25959,252,56,profitable
B-25959,681,259,profitable
B-25959,32,2,profitable
B-25959,132,49,profitable
B-25959,637,212,profitable
B-25959,429,17,profitable
B-25959,82,24,profitable
B-25959,23,8,profitable
B-25960,171,-140,not profitable
B-25961,34,-12,not profitable
B-25961,366,84,profitable
B-25961,26,3,profitable
B-25961,446,53,profitable
B-25961,48,16,profitable
B-25961,34,10,profitable
B-25962,260,68,profitable
B-25962,312,62,profitable
B-25962,544,-152,not profitable
B-25963,53,8,profitable
B-25964,199,0,profitable
B-25964,89,6,profitable
B-25964,1270,546,profitable
B-25964,346,108,profitable
B-25965,17,7,profitable
B-25966,510,234,profitable
B-25967,17,2,profitable
B-25967,119,-24,not profitable
B-25967,229,59,profitable
B-25968,811,154,profitable
B-25969,720,43,profitable
B-25969,2452,191,profitable
B-25969,171,17,profitable
B-25970,203,84,profitable
B-25970,742,198,profitable
B-25970,111,9,profitable
B-25970,365,107,profitable
B-25971,244,83,profitable
B-25972,115,47,profitable
B-25973,571,108,profitable
B-25973,398,111,profitable
B-25973,79,39,profitable
B-25973,39,14,profitable
B-25973,4141,1698,profitable
B-25974,662,240,profitable
B-25975,29,2,profitable
B-25976,193,8,profitable
B-25977,27,1,profitable
B-25977,74,29,profitable
B-25977,180,54,profitable
B-25978,1063,175,profitable
B-25978,341,160,profitable
B-25979,560,44,profitable
B-25979,57,27,profitable
B-25979,284,45,profitable
B-25979,12,1,profitable
B-25979,82,27,profitable
B-25980,22,11,profitable
B-25981,42,13,profitable
B-25981,54,12,profitable
B-25981,62,8,profitable
B-25981,245,91,profitable
B-25981,867,251,profitable
B-25981,48,2,profitable
B-25982,13,3,profitable
B-25983,230,5,profitable
B-25983,32,-12,not profitable
B-25983,161,-229,not profitable
B-25983,50,-4,not profitable
B-25983,561,118,profitable
B-25984,304,97,profitable
B-25985,197,20,profitable
B-25985,108,26,profitable
B-25985,32,8,profitable
B-25985,44,11,profitable
B-25986,749,307,profitable
B-25986,71,4,profitable
B-25986,487,-23,not profitable
B-25986,918,22,profitable
B-25987,299,0,profitable
B-25987,88,11,profitable
B-25988,79,24,profitable
B-25989,44,14,profitable
B-25989,10,5,profitable
B-25989,42,15,profitable
B-25989,330,81,profitable
B-25989,338,41,profitable
B-25990,71,32,profitable
B-25991,188,13,profitable
B-25991,90,30,profitable
B-25991,13,5,profitable
B-25992,141,41,profitable
B-25993,44,8,profitable
B-25993,610,208,profitable
B-25993,4363,305,profitable
B-25993,414,199,profitable
B-25993,221,26,profitable
B-25993,201,32,profitable
B-25993,173,86,profitable
B-25994,196,-7,not profitable
B-25995,1314,342,profitable
B-25996,62,6,profitable
B-25996,31,2,profitable
B-25996,217,72,profitable
B-25996,286,140,profitable
B-25996,333,50,profitable
B-25996,47,1,profitable
B-25996,18,4,profitable
B-25997,16,6,profitable
B-25997,231,99,profitable
B-25997,2292,127,profitable
B-25997,48,15,profitable
B-25998,50,-28,not profitable
B-25999,26,-17,not profitable
B-25999,93,-65,not profitable
B-25999,152,-3,not profitable
B-25999,51,-49,not profitable
B-25999,352,74,profitable
B-25999,129,11,profitable
B-25999,223,62,profitable
B-25999,770,323,profitable
B-25999,222,74,profitable
B-25999,215,-30,not profitable
B-25999,109,40,profitable
B-26000,43,9,profitable
B-26000,676,151,profitable
B-26000,597,93,profitable
B-26001,13,0,profitable
B-26001,149,17,profitable
B-26001,8,2,profitable
B-26001,50,9,profitable
B-26002,80,22,profitable
B-26002,276,52,profitable
B-26002,71,19,profitable
B-26002,141,7,profitable
B-26002,113,28,profitable
B-26003,315,-8,not profitable
B-26003,128,47,profitable
B-26003,652,13,profitable
B-26003,114,41,profitable
B-26003,79,16,profitable
B-26003,498,-116,not profitable
B-26003,1745,122,profitable
B-26003,17,2,profitable
B-26004,147,44,profitable
B-26004,162,73,profitable
B-26005,87,10,profitable
B-26006,1301,573,profitable
B-26007,311,72,profitable
B-26008,22,4,profitable
B-26008,206,51,profitable
B-26008,57,24,profitable
B-26008,10,-1,not profitable
B-26009,285,128,profitable
B-26009,195,12,profitable
B-26010,527,26,profitable
B-26010,29,3,profitable
B-26010,85,13,profitable
B-26010,18,2,profitable
B-26010,176,-13,not profitable
B-26010,55,3,profitable
B-26011,93,44,profitable
B-26012,21,8,profitable
B-26013,29,10,profitable
B-26014,406,97,profitable
B-26014,278,39,profitable
B-26015,128,55,profitable
B-26016,74,9,profitable
B-26016,202,4,profitable
B-26016,429,61,profitable
B-26016,134,-13,not profitable
B-26017,78,7,profitable
B-26018,326,107,profitable
B-26018,61,8,profitable
B-26019,585,175,profitable
B-26020,319,102,profitable
B-26021,122,59,profitable
B-26021,49,21,profitable
B-26021,21,-12,not profitable
B-26022,1824,-1303,not profitable
B-26023,1117,447,profitable
B-26023,29,0,profitable
B-26023,66,22,profitable
B-26023,59,21,profitable
B-26024,168,18,profitable
B-26025,155,5,profitable
B-26025,32,1,profitable
B-26025,41,19,profitable
B-26026,255,76,profitable
B-26026,25,2,profitable
B-26027,54,8,profitable
B-26028,77,36,profitable
B-26028,115,0,profitable
B-26028,1272,547,profitable
B-26029,21,10,profitable
B-26030,92,5,profitable
B-26030,11,5,profitable
B-26030,221,35,profitable
B-26030,50,25,profitable
B-26030,89,36,profitable
B-26030,291,93,profitable
B-26031,67,9,profitable
B-26032,47,15,profitable
B-26033,774,170,profitable
B-26033,143,32,profitable
B-26033,111,35,profitable
B-26034,425,183,profitable
B-26035,291,119,profitable
B-26035,520,151,profitable
B-26035,369,15,profitable
B-26036,341,44,profitable
B-26037,171,68,profitable
B-26038,41,19,profitable
B-26038,130,61,profitable
B-26038,52,14,profitable
B-26038,30,6,profitable
B-26039,83,34,profitable
B-26040,38,9,profitable
B-26040,113,24,profitable
B-26040,833,93,profitable
B-26041,176,-28,not profitable
B-26042,36,15,profitable
B-26043,185,48,profitable
B-26043,62,28,profitable
B-26043,79,5,profitable
B-26043,30,12,profitable
B-26043,122,50,profitable
B-26044,28,10,profitable
B-26045,302,75,profitable
B-26045,376,0,profitable
B-26045,179,77,profitable
B-26045,27,5,profitable
B-26046,32,3,profitable
B-26047,55,12,profitable
B-26048,163,81,profitable
B-26048,401,13,profitable
B-26048,1461,202,profitable
B-26048,1104,209,profitable
B-26049,100,28,profitable
B-26050,325,32,profitable
B-26050,169,55,profitable
B-26050,487,143,profitable
B-26050,166,27,profitable
B-26050,79,32,profitable
B-26050,32,6,profitable
B-26050,38,9,profitable
B-26050,284,44,profitable
B-26050,382,92,profitable
B-26051,184,85,profitable
B-26051,676,195,profitable
B-26051,669,74,profitable
B-26051,80,22,profitable
B-26051,216,50,profitable
B-26051,85,24,profitable
B-26051,382,119,profitable
B-26051,490,88,profitable
B-26051,1337,147,profitable
B-26051,600,102,profitable
B-26052,78,28,profitable
B-26052,101,16,profitable
B-26052,145,0,profitable
B-26052,148,23,profitable
B-26052,15,1,profitable
B-26052,25,7,profitable
B-26052,774,170,profitable
B-26053,17,1,profitable
B-26053,246,61,profitable
B-26053,425,208,profitable
B-26053,93,31,profitable
B-26053,594,89,profitable
B-26053,85,2,profitable
B-26053,27,6,profitable
B-26053,120,1,profitable
B-26053,162,55,profitable
B-26054,246,98,profitable
B-26054,88,20,profitable
B-26054,88,19,profitable
B-26054,139,21,profitable
B-26054,139,36,profitable
B-26054,138,11,profitable
B-26054,156,23,profitable
B-26054,559,174,profitable
B-26055,227,48,profitable
B-26055,5729,64,profitable
B-26055,94,27,profitable
B-26055,213,4,profitable
B-26055,250,-12,not profitable
B-26055,43,11,profitable
B-26055,1218,420,profitable
B-26055,671,114,profitable
B-26055,57,7,profitable
B-26056,70,24,profitable
B-26056,47,20,profitable
B-26056,33,9,profitable
B-26056,424,161,profitable
B-26056,391,90,profitable
B-26056,15,6,profitable
B-26056,101,11,profitable
B-26056,31,9,profitable
B-26056,220,40,profitable
B-26056,213,-145,not profitable
B-26056,19,-18,not profitable
B-26056,206,18,profitable
B-26057,736,346,profitable
B-26057,54,8,profitable
B-26057,659,-37,not profitable
B-26057,224,87,profitable
B-26058,212,97,profitable
B-26059,20,6,profitable
B-26060,382,68,profitable
B-26061,508,203,profitable
B-26061,965,-68,not profitable
B-26061,206,12,profitable
B-26061,642,180,profitable
B-26061,109,52,profitable
B-26061,27,8,profitable
B-26062,44,-40,not profitable
B-26062,50,-17,not profitable
B-26062,13,-2,not profitable
B-26063,241,-77,not profitable
B-26064,75,2,profitable
B-26064,61,3,profitable
B-26064,122,38,profitable
B-26064,22,0,profitable
B-26065,146,19,profitable
B-26066,86,22,profitable
B-26067,618,27,profitable
B-26067,53,2,profitable
B-26067,1120,199,profitable
B-26067,1137,-14,not profitable
B-26067,67,2,profitable
B-26068,193,33,profitable
B-26069,55,18,profitable
B-26070,54,12,profitable
B-26070,582,262,profitable
B-26070,75,29,profitable
B-26070,14,7,profitable
B-26071,21,4,profitable
B-26072,313,44,profitable
B-26073,37,17,profitable
B-26073,290,110,profitable
B-26073,122,11,profitable
B-26073,29,9,profitable
B-26073,1514,742,profitable
B-26074,57,21,profitable
B-26075,34,12,profitable
B-26076,91,22,profitable
B-26076,133,46,profitable
B-26076,60,13,profitable
B-26076,19,4,profitable
B-26076,450,190,profitable
B-26077,62,11,profitable
B-26078,17,8,profitable
B-26078,44,20,profitable
B-26078,557,111,profitable
B-26078,137,63,profitable
B-26079,18,3,profitable
B-26080,109,35,profitable
B-26081,359,-338,not profitable
B-26081,93,-84,not profitable
B-26081,169,0,profitable
B-26081,79,33,profitable
B-26081,24,11,profitable
B-26081,637,50,profitable
B-26082,95,5,profitable
B-26083,43,8,profitable
B-26083,145,16,profitable
B-26083,34,3,profitable
B-26083,143,6,profitable
B-26083,45,17,profitable
B-26084,209,-63,not profitable
B-26085,86,22,profitable
B-26085,1487,624,profitable
B-26085,40,17,profitable
B-26085,132,-10,not profitable
B-26086,43,17,profitable
B-26086,762,101,profitable
B-26086,25,2,profitable
B-26087,119,56,profitable
B-26087,46,13,profitable
B-26087,311,40,profitable
B-26087,40,10,profitable
B-26087,180,0,profitable
B-26088,11,5,profitable
B-26089,59,24,profitable
B-26089,27,4,profitable
B-26089,139,14,profitable
B-26090,80,22,profitable
B-26091,158,69,profitable
B-26091,29,10,profitable
B-26091,59,10,profitable
B-26092,97,14,profitable
B-26093,33,-1,not profitable
B-26093,2847,712,profitable
B-26093,852,51,profitable
B-26093,492,187,profitable
B-26093,81,41,profitable
B-26093,49,5,profitable
B-26093,148,25,profitable
B-26094,152,50,profitable
B-26095,6,1,profitable
B-26096,45,9,profitable
B-26096,103,46,profitable
B-26096,140,56,profitable
B-26096,88,11,profitable
B-26096,451,25,profitable
B-26096,264,-26,not profitable
B-26097,97,12,profitable
B-26097,14,5,profitable
B-26097,19,8,profitable
B-26097,39,18,profitable
B-26097,185,-26,not profitable
B-26097,663,-212,not profitable
B-26097,671,-309,not profitable
B-26098,82,8,profitable
B-26098,497,179,profitable
B-26098,96,48,profitable
B-26098,409,86,profitable
B-26098,59,15,profitable
B-26098,46,14,profitable
B-26099,9,3,profitable
B-26099,207,37,profitable
B-26099,835,267,profitable
B-26099,2366,552,profitable
B-26100,828,230,profitable
B-26100,34,10,profitable
B-26100,72,16,profitable
